Bus,Pd,v_nom,balancing_area,state,country,county,reeds_zone,reeds_ba,interconnect,x,y,sub_id,substation_off,LAF_state,nerc_reg,trans_reg,trans_grp,reeds_state,rec_trading_zone,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
2010001,9.64,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-124.578,48.2414,35000.0,False,0.0006003212092113187,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010002,15.98,138.0,BPAT,Washington,US,p53031,p2,BPAT,Western,-124.184,47.6956,35001.0,False,0.0009951382700411693,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010003,14.39,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-124.057,47.04,35002.0,False,0.0008961226349119166,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010004,0.0,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-124.172,46.9275,35003.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010005,10.45,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-124.172,46.9275,35003.0,False,0.0006507631365413153,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010006,13.44,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-124.061,46.3165,35004.0,False,0.0008369623497717969,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010007,0.0,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-124.061,46.3165,35004.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010008,0.0,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.983,46.4983,35005.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010009,16.82,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.983,46.4983,35005.0,False,0.0010474484169019067,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010010,33.49,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.847,47.1743,35006.0,False,0.0020855557361501103,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010011,32.02,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.762,48.0025,35007.0,False,0.00199401297914382,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010012,0.0,345.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.664,47.165,35008.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010013,57.79,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.664,47.165,35008.0,False,0.003598813556050011,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010014,0.0,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.686,47.1889,35009.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010015,25.01,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.686,47.1889,35009.0,False,0.0015574723487940955,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010016,0.0,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.615,46.656,35010.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010017,25.89,138.0,BPAT,Washington,US,p53049,p2,BPAT,Western,-123.615,46.656,35010.0,False,0.0016122734550291537,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010018,24.47,138.0,BPAT,Washington,US,p53027,p2,BPAT,Western,-123.294,47.0719,35011.0,False,0.0015238443972407643,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010019,0.0,345.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.332,47.988,35012.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010020,53.35,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.332,47.988,35012.0,False,0.0033223170655004,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010021,8.99,138.0,BPAT,Washington,US,p53069,p2,BPAT,Western,-123.332,46.1904,35013.0,False,0.0005598431193786053,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010022,48.19,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.13,47.1504,35014.0,False,0.003000983306213013,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010023,0.0,345.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.072,47.1479,35015.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010024,43.96,138.0,BPAT,Washington,US,p53045,p2,BPAT,Western,-123.072,47.1479,35015.0,False,0.002737564352378586,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010025,30.89,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-123.042,46.7918,35016.0,False,0.0019236433768192566,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010026,18.65,138.0,BPAT,Washington,US,p53055,p1,BPAT,Western,-123.0922,48.5372,35017.0,False,0.0011614098082770843,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010027,0.0,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.158,48.0874,35018.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010028,32.23,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.158,48.0874,35018.0,False,0.002007090515859004,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010029,32.23,138.0,BPAT,Washington,US,p53009,p2,BPAT,Western,-123.082,48.0024,35019.0,False,0.002007090515859004,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
2010030,0.0,138.0,PSEI,Washington,US,p53067,p1,BPAT,Western,-123.132,47.0228,35020.0,False,0.0,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,,AC,,1.0,0.0,inf,PQ,,
