Line,bus0,bus1,r,x,b,s_nom,v_nom,interconnect,type,carrier,underwater_fraction,length,g,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,latitude1,longitude1,latitude2,longitude2,wkt_geom
88209,2010002,2010001,10.94534856,56.72712456,2.3928796471329553e-06,185.33,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,67.48244201388619,0.0,0.0,False,0.0,inf,1.0,6186.62157772805,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6956,-124.184,48.2414,-124.578,"LINESTRING (-124.184 47.6956, -124.578 48.2414)"
88210,2010011,2010001,5.312323800000001,38.27577384,3.2929006511237136e-06,167.88,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,66.21281058395964,0.0,0.0,False,0.0,inf,1.0,6070.22494231096,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0025,-123.762,48.2414,-124.578,"LINESTRING (-123.762 48.0025, -124.578 48.2414)"
88211,2010014,2010002,5.38678584,25.319759759999997,3.7833438353287125e-06,207.43,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,67.72990019763365,0.0,0.0,False,0.0,inf,1.0,6209.307925368559,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1889,-123.686,47.6956,-124.184,"LINESTRING (-123.686 47.1889, -124.184 47.6956)"
88212,2010004,2010003,2.30413356,13.95696672,6.14891829447595e-07,170.67,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,15.267912411031743,0.0,0.0,False,0.0,inf,1.0,1399.7240400623625,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9275,-124.172,47.04,-124.057,"LINESTRING (-124.172 46.9275, -124.057 47.04)"
88213,2010003,2010010,2.36583612,15.068945880000001,9.273261919764755e-07,201.54,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,21.83282730801308,0.0,0.0,False,0.0,inf,1.0,2001.579025530369,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.04,-124.057,47.1743,-123.847,"LINESTRING (-124.057 47.04, -123.847 47.1743)"
88214,2010937,2010003,1.81222704,9.55799316,1.4408737660155428e-06,211.8,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,22.747884827449447,0.0,0.0,False,0.0,inf,1.0,2085.4692112684966,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9728,-123.774,47.04,-124.057,"LINESTRING (-123.774 46.9728, -124.057 47.04)"
88215,2010004,2010005,0.038278440000000004,0.22338612000000002,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9275,-124.172,46.9275,-124.172,"LINESTRING (-124.172 46.9275, -124.172 46.9275)"
88216,2010004,2010937,3.71015208,19.166452919999998,1.1137366099558917e-06,195.1,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,30.6617112240199,0.0,0.0,False,0.0,inf,1.0,2810.989030740084,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9275,-124.172,46.9728,-123.774,"LINESTRING (-124.172 46.9275, -123.774 46.9728)"
88217,2010006,2010007,0.051799679999999994,0.21653028,0.0,0.01,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,0.0,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3165,-124.061,46.3165,-124.061,"LINESTRING (-124.061 46.3165, -124.061 46.3165)"
88218,2010008,2010007,1.6587324,12.484675080000002,8.191556395715186e-07,212.34,138.0,Western,Al/St 240/40 2-bundle 220.0,AC,0.0,21.10490823954849,0.0,0.0,False,0.0,inf,1.0,1934.8452251312067,0,inf,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4983,-123.983,46.3165,-124.061,"LINESTRING (-123.983 46.4983, -124.061 46.3165)"
