Bus,sub_id,interconnect,balancing_area,x,y,state,country,county
2010001,35000.0,Western,BPAT,-124.578,48.2414,Washington,US,p53009
2010002,35001.0,Western,BPAT,-124.184,47.6956,Washington,US,p53031
2010003,35002.0,Western,BPAT,-124.057,47.04,Washington,US,p53027
2010004,35003.0,Western,BPAT,-124.172,46.9275,Washington,US,p53027
2010005,35003.0,Western,BPAT,-124.172,46.9275,Washington,US,p53027
2010006,35004.0,Western,BPAT,-124.061,46.3165,Washington,US,p53049
2010007,35004.0,Western,BPAT,-124.061,46.3165,Washington,US,p53049
2010008,35005.0,Western,BPAT,-123.983,46.4983,Washington,US,p53049
2010009,35005.0,Western,BPAT,-123.983,46.4983,Washington,US,p53049
2010010,35006.0,Western,BPAT,-123.847,47.1743,Washington,US,p53027
2010011,35007.0,Western,BPAT,-123.762,48.0025,Washington,US,p53009
2010012,35008.0,Western,BPAT,-123.664,47.165,Washington,US,p53027
2010013,35008.0,Western,BPAT,-123.664,47.165,Washington,US,p53027
2010014,35009.0,Western,BPAT,-123.686,47.1889,Washington,US,p53027
2010015,35009.0,Western,BPAT,-123.686,47.1889,Washington,US,p53027
2010016,35010.0,Western,BPAT,-123.615,46.656,Washington,US,p53049
2010017,35010.0,Western,BPAT,-123.615,46.656,Washington,US,p53049
2010018,35011.0,Western,BPAT,-123.294,47.0719,Washington,US,p53027
2010019,35012.0,Western,BPAT,-123.332,47.988,Washington,US,p53009
2010020,35012.0,Western,BPAT,-123.332,47.988,Washington,US,p53009
2010021,35013.0,Western,BPAT,-123.332,46.1904,Washington,US,p53069
2010022,35014.0,Western,BPAT,-123.13,47.1504,Washington,US,p53045
2010023,35015.0,Western,BPAT,-123.072,47.1479,Washington,US,p53045
2010024,35015.0,Western,BPAT,-123.072,47.1479,Washington,US,p53045
2010025,35016.0,Western,PSEI,-123.042,46.7918,Washington,US,p53067
2010026,35017.0,Western,BPAT,-123.0922,48.5372,Washington,US,p53055
2010027,35018.0,Western,BPAT,-123.158,48.0874,Washington,US,p53009
2010028,35018.0,Western,BPAT,-123.158,48.0874,Washington,US,p53009
2010029,35019.0,Western,BPAT,-123.082,48.0024,Washington,US,p53009
2010030,35020.0,Western,PSEI,-123.132,47.0228,Washington,US,p53067
2010031,35020.0,Western,PSEI,-123.132,47.0228,Washington,US,p53067
2010032,35021.0,Western,PSEI,-123.143,47.0673,Washington,US,p53067
2010033,35022.0,Western,BPAT,-123.011,46.1277,Oregon,US,p41009
2010034,35023.0,Western,BPAT,-122.989,46.1467,Washington,US,p53015
2010035,35023.0,Western,BPAT,-122.989,46.1467,Washington,US,p53015
2010036,35023.0,Western,BPAT,-122.989,46.1467,Washington,US,p53015
2010037,35024.0,Western,PSEI,-122.963,46.66,Washington,US,p53041
2010038,35025.0,Western,BPAT,-123.021,47.1433,Washington,US,p53045
2010039,35025.0,Western,BPAT,-123.021,47.1433,Washington,US,p53045
2010040,35026.0,Western,PSEI,-122.923,47.1717,Washington,US,p53067
2010041,35027.0,Western,BPAT,-122.896,46.4187,Washington,US,p53041
2010042,35028.0,Western,PSEI,-122.848,46.7548,Washington,US,p53041
2010043,35029.0,Western,BPAT,-122.926,47.4535,Washington,US,p53045
2010044,35029.0,Western,BPAT,-122.926,47.4535,Washington,US,p53045
2010045,35030.0,Western,BPAT,-122.809,46.3394,Washington,US,p53015
2010046,35031.0,Western,PSEI,-122.858,46.9955,Washington,US,p53067
2010047,35031.0,Western,PSEI,-122.858,46.9955,Washington,US,p53067
2010048,35032.0,Western,PSEI,-122.886,46.9904,Washington,US,p53067
2010049,35032.0,Western,PSEI,-122.886,46.9904,Washington,US,p53067
2010050,35032.0,Western,PSEI,-122.886,46.9904,Washington,US,p53067
2010051,35033.0,Western,BPAT,-122.78053,48.65694,Washington,US,p53055
2010052,35033.0,Western,BPAT,-122.78053,48.65694,Washington,US,p53055
2010053,35034.0,Western,PSEI,-122.852,47.0745,Washington,US,p53067
2010054,35035.0,Western,PSEI,-122.891,48.0143,Washington,US,p53031
2010055,35036.0,Western,PSEI,-122.807,46.9218,Washington,US,p53067
2010056,35036.0,Western,PSEI,-122.807,46.9218,Washington,US,p53067
2010057,35037.0,Western,PSEI,-122.722,46.9892,Washington,US,p53067
2010058,35037.0,Western,PSEI,-122.722,46.9892,Washington,US,p53067
2010059,35037.0,Western,PSEI,-122.722,46.9892,Washington,US,p53067
2010060,35038.0,Western,PSEI,-122.791,47.003,Washington,US,p53067
2010061,35039.0,Western,PSEI,-122.752,47.1839,Washington,US,p53053
2010062,35040.0,Western,PSEI,-122.809,47.5276,Washington,US,p53035
2010063,35040.0,Western,PSEI,-122.809,47.5276,Washington,US,p53035
2010064,35040.0,Western,PSEI,-122.809,47.5276,Washington,US,p53035
2010065,35041.0,Western,PSEI,-122.878,47.5296,Washington,US,p53035
2010066,35041.0,Western,PSEI,-122.878,47.5296,Washington,US,p53035
2010067,35041.0,Western,PSEI,-122.878,47.5296,Washington,US,p53035
2010068,35041.0,Western,PSEI,-122.878,47.5296,Washington,US,p53035
2010069,35042.0,Western,BPAT,-122.84,46.0854,Washington,US,p53015
2010070,35043.0,Western,BPAT,-122.739,47.3623,Washington,US,p53053
2010071,35044.0,Western,PSEI,-122.715,46.8946,Washington,US,p53067
2010072,35045.0,Western,PSEI,-122.693,47.0142,Washington,US,p53067
2010073,35045.0,Western,PSEI,-122.693,47.0142,Washington,US,p53067
2010074,35046.0,Western,BPAT,-122.767,46.0192,Washington,US,p53015
2010075,35046.0,Western,BPAT,-122.767,46.0192,Washington,US,p53015
2010076,35047.0,Western,BPAT,-122.788,47.3039,Washington,US,p53053
