,bus0,bus1,carrier,p_nom,annual_net_import_to_CA_MWh,annual_gross_import_to_CA_MWh,annual_gross_export_from_CA_MWh
9_fwd,p25,p10,DC,2300.0,1434823.815776988,1434823.815776988,0.0
10_fwd,p5,p10,DC,3000.0,3819173.8353816075,3819173.8353816075,0.0
9_rev,p10,p25,DC,2300.0,-11371537.188420676,0.0,11371537.188420676
10_rev,p10,p5,DC,3000.0,-8503977.340288658,0.0,8503977.340288658
p6||p8_fwd,p6,p8,AC,488.117,634639.7635026627,634639.7635026627,0.0
p6||p9_fwd,p6,p9,AC,4800.0,2832548.7221095366,2832548.7221095366,0.0
p7||p8_fwd,p7,p8,AC,24.111,19679.39568032964,19679.39568032964,0.0
p9||p12_fwd,p9,p12,AC,297.86,-1841428.4206482223,0.0,1841428.4206482223
p10||p13_fwd,p10,p13,AC,8751.271,-24523873.212028205,0.0,24523873.212028205
p10||p27_fwd,p10,p27,AC,472.535,-450402.7354167719,0.0,450402.7354167719
p10||p28_fwd,p10,p28,AC,4899.847,-20021696.47209519,0.0,20021696.47209519
p6||p8_rev,p8,p6,AC,378.458,-1347908.4983209986,0.0,1347908.4983209986
p6||p9_rev,p9,p6,AC,4800.0,-24113613.73309035,0.0,24113613.73309035
p7||p8_rev,p8,p7,AC,30.662,-142769.03166834664,0.0,142769.03166834664
p9||p12_rev,p12,p9,AC,436.768,677925.7413983179,677925.7413983179,0.0
p10||p13_rev,p13,p10,AC,8049.93,8472154.404529508,8472154.404529508,0.0
p10||p27_rev,p27,p10,AC,811.0,3854865.7753967596,3854865.7753967596,0.0
p10||p28_rev,p28,p10,AC,4424.758,12420639.880042918,12420639.880042918,0.0
