Generator,bus,carrier,p_nom,capital_cost,marginal_cost,efficiency,p_nom_opt,added_capacity_MW,generation_MWh,co2_intensity_tonnes_per_MWh,co2_emissions_tonnes,operating_cost_USD,annualized_capacity_cost_USD_per_year,annualized_added_capacity_cost_USD_per_year
p10 CCGT existing,p10,CCGT,11474.9,27800.0,25.03678447829611,0.4569338817767475,11474.9,0.0,30963372.932458878,0.3961185791173929,12265167.290687554,775223294.8310803,319002220.0,0.0
p10 OCGT existing,p10,OCGT,10501.099999999999,22800.0,38.71742032168059,0.30902660673643717,4989.200128970247,0.0,439777.9044515296,0.5857100846800917,257582.35365673868,17027065.974837758,113753762.94052163,0.0
p10 biomass,p10,biomass,333.9,422582.666,33.4068799640611,0.3165666367175801,333.9,0.0,154873.9632,0.0,0.0,5173855.898180815,141100352.1774,0.0
p10 coal existing,p10,coal,62.5,74600.0,28.094412000000002,0.42,-0.0,0.0,0.0,0.8214285714285714,0.0,0.0,-0.0,0.0
p10 geothermal,p10,geothermal,1106.9,412505.00783307996,2.5860215014906496,0.31399999999999995,1106.9,0.0,6283512.429769456,0.12738853503184716,800447.4432827334,16249298.248267569,456601793.17043626,0.0
p10 hydro,p10,hydro,2622.6099999999997,185763.67935135998,0.0,1.0,2622.6099999999997,0.0,5966483.556570745,0.0,0.0,0.0,487185683.1036701,0.0
p10 oil,p10,oil,40.400000000000006,0.0,31.1467608910891,0.3196633663366336,40.400000000000006,0.0,24242.975999999995,1.0917735241281052,26467.83934287307,755090.1767604116,0.0,0.0
p10 onwind existing,p10,onwind,4262.5,26256.0,0.0,1.0,4262.5,0.0,17907741.56515746,0.0,0.0,0.0,111916200.0,0.0
p10 solar existing,p10,solar,17705.899999999998,9862.3,0.0,1.0000000000000002,17705.899999999998,0.0,11808014.670908038,0.0,0.0,0.0,174620897.56999996,0.0
p11 CCGT existing,p11,CCGT,1368.4,27800.0,29.013495710318622,0.46886444022215723,1368.4,0.0,7168493.922774041,0.3860390860826183,2767318.842536494,207983067.67784974,38041520.0,0.0
p11 OCGT existing,p11,OCGT,1751.4,22800.0,37.208703973963694,0.3295255795363709,1751.4,0.0,1307734.7087513467,0.5492745062603627,718305.3364689351,48659113.65440649,39931920.0,0.0
p11 biomass,p11,biomass,19.599999999999998,422582.6660000001,30.633012244897966,0.3323775510204082,19.599999999999998,0.0,51210.920015699056,0.0,0.0,1568744.7399133996,8282620.2536,0.0
p11 hydro,p11,hydro,42.0,185763.67935135998,0.0,1.0,42.0,0.0,106051.50860006092,0.0,0.0,0.0,7802074.532757119,0.0
p11 oil,p11,oil,6.5,0.0,30.856146153846154,0.31900000000000006,6.5,0.0,16848.0,1.0940438871473352,18432.451410658305,519864.3504,0.0,0.0
p11 onwind existing,p11,onwind,194.0,26256.0,0.0,1.0,194.0,0.0,775549.7665925161,0.0,0.0,0.0,5093664.0,0.0
p11 solar existing,p11,solar,225.0,9862.3,0.0,0.9999999999999999,225.0,0.0,148394.03032706244,0.0,0.0,0.0,2219017.5,0.0
p8 OCGT existing,p8,OCGT,6.2,22800.0,37.0245,0.324,6.2,0.0,2006.8656,0.5586419753086419,1121.119362962963,74303.19540720001,141360.0,0.0
p8 biomass,p8,biomass,49.6,422582.666,46.89791209677419,0.2497741935483871,49.6,0.0,936.3504,0.0,0.0,43912.878750979355,20960100.2336,0.0
p8 hydro,p8,hydro,65.0,185763.67935135998,0.0,1.0,65.0,0.0,160122.284959441,0.0,0.0,0.0,12074639.157838399,0.0
